Year,Coal,Crude Oil,Natural Gas,Hydro Power,Geothermal,Biomass,Biofuel
2000,93831548,433360999,164649922,25248631,9596400,269054110,0
2001,119125379,441731352,172083907,29380607,9960940,268970034,0
2002,122879411,452817870,188822314,25038179,10248040,270230078,0
2003,164950173,456647707,204142054,22937538,10375200,272005374,0
2004,151543284,498117696,187553776,24385647,11077000,271806233,0
2005,173673093,493636985,191189376,27034841,10910460,270042895,0
2006,205779290,459929016,196599386,24256796,11182742,276335944,0
2007,258174000,470036057,183623636,28450964,11421759,275199938,36043
2008,224587657,474496098,236049566,29060413,13423610,277981421,60407
2009,236439000,467883065,251035250,28662883,14973198,279313257,771965
2010,281400000,518405561,,43952237,15266074,273670429,1446623
2011,334142760,546635311,261708332,31268976,15119152,283140897,2328869
2012,377892961,533830676,259456414,32226297,15129340,300838657,4339870
2013,410566607,542950370,232399957,38494094,10644873,306232741,6798481
2014,497804744,544795076,271375371,30139213,16191566,310162037,11966513
2015,364619216,607791169,275465640,35040466,16337878,313328055.7,5938648
2016,380310000,534207126,277169757,45452580,17537710,316526392,19516272
2017,407526000,567528788,275142227,47599892,20259621,319757375.7,16682032
2018,483336000,569024765,288310815,40204916,,323021340,28381188
2019,581356407,546169969,288586414,39329376,26193174,61392721,45927085
2020,553923901,472707726,251143838,45457285,28909243,53365255,55515900
